distance,elevation
5308.6167165,595.74005127
5287.1969209006,595.777648926
5265.7771253012,595.777648926
5244.3573297018,595.89050293
5222.9375341024,596.003295898
5201.517738503,596.116088867
5180.097942904,596.266540527
5158.678147304,596.34173584
5137.258351705,596.416931152
5115.838556105,596.454528809
5094.418760506,596.529724121
5072.998964907,596.529724121
5051.579169307,596.529724121
5030.159373708,596.34173584
5008.739578109,595.89050293
4987.319782509,595.514465332
4965.89998691,594.687194824
4944.48019131,593.258239746
4923.060395711,593.070251465
4901.640600112,592.092529297
4880.220804512,592.242980957
4858.801008913,591.190063477
4837.381213313,590.062011719
4815.961417714,590.400390625
4794.541622115,589.685974121
4773.121826515,588.670654297
4751.702030916,589.121887207
4730.282235316,588.332214355
4708.862439717,588.294616699
4687.442644118,587.166564941
4666.022848518,586.188842773
4644.603052919,586.076049805
4623.18325732,585.323974609
4601.76346172,584.534301758
4580.343666121,584.30871582
4558.923870521,583.030212402
4537.504074922,581.902099609
4516.084279323,579.796325684
4494.664483723,576.976074219
4473.244688124,574.531860352
4451.824892524,571.034790039
4430.405096925,568.289733887
4408.985301326,563.589355469
4387.565505726,558.249694824
4366.145710127,552.985229492
4344.725914527,547.532775879
4323.306118928,542.193115234
4301.88632333,537.943969727
4280.46652773,532.453857422
4259.04673213,527.903869629
4237.62693653,521.661743164
4216.20714093,515.118835449
4194.78734533,509.666351318
4173.36754973,502.972961426
4151.94775413,496.768432617
4130.52795853,492.820098877
4109.10816293,487.254821777
4087.68836733,484.547393799
4066.26857174,479.320556641
4044.84877614,474.131317139
4023.42898054,472.514373779
4002.00918494,467.776367188
3980.58938934,463.264007568
3959.16959374,461.647064209
3937.74979814,457.134674072
3916.33000254,454.427246094
3894.91020694,450.441314697
3873.49041134,447.54586792
3852.07061574,446.342559814
3830.65082014,444.688018799
3809.23102454,444.011169434
3787.81122894,442.883056641
3766.39143334,441.942993164
3744.97163774,440.739685059
3723.55184215,439.573974609
3702.13204655,438.40826416
3680.71225095,436.189697266
3659.29245535,434.798370361
3637.87265975,431.902923584
3616.45286415,430.285980225
3595.03306855,428.706665039
3573.61327295,425.059143066
3552.19347735,423.216583252
3530.77368175,421.411621094
3509.35388615,417.087249756
3487.93409055,415.169494629
3466.51429495,410.657104492
3445.09449935,409.115386963
3423.67470375,408.0625
3402.25490815,404.678192139
3380.83511255,404.753417969
3359.41531696,405.167053223
3337.99552136,403.813323975
3316.57572576,404.527801514
3295.15593016,403.66293335
3273.73613456,404.03894043
3252.31633896,403.963745117
3230.89654336,402.158782959
3209.47674776,401.181121826
3188.05695216,399.037719727
3166.63715656,398.060058594
3145.21736096,397.195159912
3123.79756536,395.691040039
3102.37776976,395.164611816
3080.95797416,394.562957764
3059.53817856,393.434844971
3038.11838296,392.833190918
3016.69858737,391.968322754
2995.27879177,391.291473389
2973.85899617,390.539398193
2952.43920057,390.012969971
2931.01940497,388.884857178
2909.59960937,387.568756104
2888.17981377,385.500579834
2866.76001817,384.334869385
2845.34022257,382.454711914
2823.92042697,382.191497803
2802.50063137,382.078674316
2781.08083577,381.401824951
2759.66104017,381.213806152
2738.24124457,380.912994385
2716.82144897,379.784881592
2695.40165337,379.07043457
2673.98185778,377.039855957
2652.56206218,376.325408936
2631.14226658,375.460510254
2609.72247098,374.106811523
2588.30267538,373.279541016
2566.88287978,372.377044678
2545.46308418,372.339447021
2524.04328858,371.813018799
2502.62349298,372.301849365
2481.20369738,371.925811768
2459.78390178,371.399383545
2438.36410618,370.722503662
2416.94431058,370.008056641
2395.52451498,368.992767334
2374.10471938,368.015075684
2352.68492378,367.037414551
2331.26512818,366.0597229
2309.84533259,365.232452393
2288.42553699,364.442779541
2267.00574139,363.653106689
2245.58594579,362.863433838
2224.16615019,362.073791504
2202.74635459,361.284118652
2181.32655899,360.569641113
2159.90676339,360.005615234
2138.48696779,359.51675415
2117.06717219,359.027923584
2095.64737659,358.651885986
2074.22758099,358.238250732
2052.80778539,358.238250732
2031.38798979,358.313476562
2009.96819419,359.103118896
1988.54839859,362.412200928
1967.128603,365.758880615
1945.7088074,369.895233154
1924.2890118,375.535736084
1902.8692162,379.183227539
1881.4494206,380.950592041
1860.029625,380.912994385
1838.6098294,380.724975586
1817.1900338,380.010498047
1795.7702382,378.280761719
1774.3504426,375.234893799
1752.930647,370.459289551
1731.5108514,365.194854736
1710.0910558,359.403961182
1688.6712602,354.553131104
1667.2514646,350.379180908
1645.831669,346.468444824
1624.4118734,343.836242676
1602.99207781,341.053588867
1581.57228221,339.549468994
1560.15248661,338.082946777
1538.73269101,335.826751709
1517.31289541,335.11227417
1495.89309981,334.999481201
1474.47330421,334.397827148
1453.05350861,334.435424805
1431.63371301,333.758575439
1410.21391741,333.645751953
1388.79412181,333.495361328
1367.37432621,332.705688477
1345.95453061,332.555267334
1324.53473501,332.367248535
1303.11493941,331.69039917
1281.69514381,331.539978027
1260.27534822,331.051147461
1238.85555262,330.975921631
1217.43575702,330.863128662
1196.01596142,330.562286377
1174.59616582,330.487091064
1153.17637022,330.223876953
1131.75657462,330.111053467
1110.33677902,329.998260498
1088.91698342,329.6222229
1067.49718782,329.359008789
1046.07739222,329.09576416
1024.65759662,328.682128906
1003.23780102,328.418914795
981.818005419999,327.930084229
960.398209819999,327.6668396
938.97841422,327.403625488
917.55861863,326.914794922
896.13882303,326.57635498
874.71902743,326.200317383
853.299231829999,325.711486816
831.87943623,325.335449219
810.45964063,324.997039795
789.03984503,324.884216309
767.62004943,324.621002197
746.200253829999,324.357757568
724.78045823,324.056945801
703.36066263,323.793731689
681.94086703,323.492889404
660.52107143,323.267272949
639.101275829999,322.891235352
617.68148023,322.665618896
596.26168463,322.515228271
574.84188903,322.17678833
553.42209344,322.026367188
532.002297839999,321.687957764
510.582502239999,321.537536621
489.16270664,321.387115479
467.74291104,321.048675537
446.32311544,320.898284912
424.903319839999,320.710266113
403.483524239999,320.371826172
382.06372864,320.221405029
360.64393304,319.995788574
339.22413744,319.995788574
317.804341839999,319.920593262
296.38454624,319.694976807
274.96475064,319.58215332
253.54495504,319.506958008
232.12515944,319.281341553
210.70536385,319.168518066
189.285568249999,318.905303955
167.86577265,318.754882812
146.44597705,318.604492188
125.02618145,318.341247559
103.60638585,318.22845459
82.1865902499994,318.115631104
60.7667946499996,318.002838135
39.3469990499998,317.927612305
17.92720345,317.927612305
0,317.927612305
